created_at,display_name,followers,friends,handler_name,likes,retweets,text,user_description,user_location
2019-04-01 12:15:15,Bugs Bunny,255.0,453.0,bugs_punny,0.0,1287.0,"RT @dhruv_rathee: ""We never said we will jail Robert Vadra""
""We said we will jail corrupts""
""Robert Vadra did rampant corruption"" 

Khud hi…","Eh....What's up, Doc?!",Rabbit Hole
2019-04-01 12:15:15,Devender Yadav(Rj Dev),13328.0,2352.0,rjdevenderkumar,0.0,0.0,"@anubhavsinha @Arun2981 नमक का हक अदा करने का उदाहरण दें :-

आये थे,#सीता मईया का मंदिर बनाने 
#नीता  मईया का काॅले… https://t.co/hV5jZAeslf","Social Media & It Cell Coordinator,AAP Rajasthan||प्रदेश सोशल मीडिया & It सेल प्रभारी-आप राजस्थान","Jaipur, India"
2019-04-01 12:15:14,Fekoslovakia Sevak Sangh,1196.0,590.0,CVBharati,1.0,0.0,"लगता है कुछ लोग सच मानकर छोड़ गये, हालांकि पहली पंक्ति सही है कुछ करने जा रहा हूँ,
पर ट्वीटर छोड़कर नहीं जाने वाला… https://t.co/f2F9BNE9g1",Spiritual•Liberal•Thinker•Fun•Satire•Crazy for Writing stuff•One woman man•,"बिहार, भारत"
2019-04-01 12:15:14,Faranaaz Karbhari (فارناز),908.0,3474.0,farabruiser,0.0,1287.0,"RT @dhruv_rathee: ""We never said we will jail Robert Vadra""
""We said we will jail corrupts""
""Robert Vadra did rampant corruption"" 

Khud hi…",PROUD INDIAN.  Not afraid to speak my mind. I am an anti-troll soldier. Stand up for what you believe in even if you stand Alone. RTs are not endorsements,"Mumbai, India"
2019-04-01 12:15:12,Himanshu hooda,13.0,12.0,Himanshuhooda11,0.0,846.0,"RT @INCIndia: They really have put in a lot of thought. Take a closer look. 
#ModiMatBanao https://t.co/FvtiE8jEd2",Try until you succeed,"बहादुरगढ़, भारत"
2019-04-01 12:15:12,RANJANA SIROHA INC,618.0,348.0,RanjanaSiroha,0.0,126.0,"RT @HasibaAmin: M mat bano!
#ModiMatBanao https://t.co/b8tIjimcEK",DR ASHOK TANWAR,"Narnaul, India"
2019-04-01 12:15:11,Rajarshi,256.0,678.0,rajarshi_das07,0.0,149.0,"RT @Vidyaraj51: Modi has also lied about his educational qualifications and marital status. In fact, whenever he speaks, he either lies or…","Proud Indian. Proud Hindu. Supporter of Indian National Congress. Passionate Real Madrid CF fan. Studying Production Engineering from NIT, Agartala.","ভারত, भारत, India"
2019-04-01 12:15:10,जन जन के नेता जननायक,23.0,25.0,JannayakAg,0.0,61.0,"RT @_lokeshsharma: देश को चूना लगाकर वो फिर से सत्ता में आना चाहते हैं, 
देश मे मूर्ख कितने हैं, वो फिर से आजमाना चाहते हैं...!!
#ModiMatBa…",राजस्थान में फिर से खुशहाली....,"Rajasthan, India"
2019-04-01 12:15:10,Reform India,8003.0,4358.0,Shubham_RI,0.0,113.0,"RT @geetv79: This is the kind of fakery &amp; false prachar which we can fully expect in the near future, with Pracharak hand-in-glove with a c…",#NYAYForIndia,India
2019-04-01 12:15:09,RANJANA SIROHA INC,618.0,348.0,RanjanaSiroha,0.0,85.0,"RT @JhaSanjay: Never forget this, Jab Bhi #MuhKholaJhoothBola . This is the legacy of #Modi. #ModiMatBanao",DR ASHOK TANWAR,"Narnaul, India"
2019-04-01 12:15:08,Akshay Sunil Kshirsagar,44.0,152.0,AkshayS_K_96,0.0,20.0,"RT @IAshishMete: शिक्षक : मुलांनो ‘येडं नका बनवु’ चे हिंदीत भाषांतर करा.

विद्यार्थी : सोपं आहे गुरुजी ‘#ModiMatBanao’",,
2019-04-01 12:15:07,RANJANA SIROHA INC,618.0,348.0,RanjanaSiroha,0.0,2.0,"RT @Vidyaraj51: #BJPfoolBanaya #ModiMatBanao 

 https://t.co/tizNltOpFL",DR ASHOK TANWAR,"Narnaul, India"
2019-04-01 12:15:03,Ujwal Acharya,50.0,180.0,UjwalAcharya07,0.0,0.0,Modi hides statistics but fact is that number of radical Hindus in Yogi's Hindu Yuva Vahni &amp; VHP who are involved i… https://t.co/ziWtEaaU9F,"Music Junkie, Composer, Writer, Editor!","Amritsar, India"
2019-04-01 12:15:02,Satinder Pal Singh,224.0,62.0,sunny_satinder,0.0,1287.0,"RT @dhruv_rathee: ""We never said we will jail Robert Vadra""
""We said we will jail corrupts""
""Robert Vadra did rampant corruption"" 

Khud hi…",,
2019-04-01 12:15:02,"Avinash Veerappa, Ph.D.",182.0,321.0,AvinashVeerappa,0.0,1287.0,"RT @dhruv_rathee: ""We never said we will jail Robert Vadra""
""We said we will jail corrupts""
""Robert Vadra did rampant corruption"" 

Khud hi…","PhD, PostDoc, Research Scientist, Entrepreneur, Politics Enthusiast, Patriotic - not nationalistic, RT = endorsement","Manhattan, NY"
2019-04-01 12:15:00,Godwin George,77.0,278.0,godwinyg,0.0,35.0,"RT @DrSanjeevRajp4: First batch of #Rafale made by ambani for #Modi ji
#ModiMatBanao https://t.co/OOKdX2CKo5","Proud to be born in Sovereign,Socialist,Secular,Democratic Republic of India!🕉☸️✡️☪️✝️🇮🇳",
2019-04-01 12:15:00,.,368.0,356.0,SarcasticSaint,0.0,25.0,RT @amohit17: @RahulGandhi is contesting from a seat which has 100% Indians! #ModiMatBanao https://t.co/dSScQaVCnl,#DestroyTheAadhaar,
2019-04-01 12:14:59,Kamlesh Kumar,33.0,714.0,kumarkamlesh76,0.0,284.0,"RT @SalmanSoz: 🤔

Chhattisgarh - Hindus 93.25%
Madhya Pradesh - Hindus 90.89%
Rajasthan - Hindus 88.49%

Source: Census 2011

Congress 3 -…",,
2019-04-01 12:14:58,vipin patel,176.0,580.0,Kumarvi95257044,0.0,34.0,RT @Jayant_R_Patil: आज का दिन तो मोदीजी का दिन है | पिछले पांच सालों से मोदीजी देश को हर बात पे एप्रिल फुल बना रहें है | प्रधानमंत्रीपद के…,,chhatarpur (M.P.)
2019-04-01 12:14:57,Pakoda Man,46.0,50.0,29_1979,0.0,1287.0,"RT @dhruv_rathee: ""We never said we will jail Robert Vadra""
""We said we will jail corrupts""
""Robert Vadra did rampant corruption"" 

Khud hi…",,
2019-04-01 12:14:55,Zimmedar RahulGandhi- Rajasekhar Namburu,50.0,842.0,RajaSekhar_13,0.0,14.0,RT @KPadmaRani1: #ModiMatBanao https://t.co/N1AD4KD6Rv,"Nehruvian, Manmohan Singh-The Best After Nehru.
With @RahulGandhi, 
Eating is My Kind Of Dieting.","Andhra Pradesh, India"
2019-04-01 12:14:54,ȶʀɨքʟɛ Ɽ :- ʀǟɢɦɨɮ ʍօɦǟʍʍǟɖɨ,3683.0,3243.0,justTripleR,0.0,200.0,"RT @sonamJain001: ✍️भाजपा की हार तो पहले से ही राहुल गांधी के हाथों से तय हो चुकी है....👍

चुनाव तो सिर्फ जलील करने के लिये हो रहे है।
सोचा…","ऐ अल्लाह, तेरा शुक्रिया जो तूने इल्म रखने वाले माँ-बाप अता की, जिन्होंने मुझे ज़ुल्म व चुनोतियों के ख़िलाफ़ लड़ने व हक़ बात बोलने-लिख़ने की हौसला दी।
 ‎#justTripleR","Manila City, National Capital "
2019-04-01 12:14:54,@saveindianculture,555.0,316.0,Hariramkoushik,0.0,114.0,"RT @Yogita_singh11: मेरे हिसाब से @kanhaiyakumar का सपोर्ट उतना ही जरूरी है जितना इस नफरत भरी सरकार को हराना

क्योकि कन्हैया अगर हारा तो हर…",मै एक भारतिय हूँ यही मेरी पहचान हैं,"Rajasthan, India"
2019-04-01 12:14:53,ZeyaEqubal,573.0,610.0,ZeyaEqubal,0.0,217.0,"RT @INCTelangana: Modi had promised to curtail inflation, but after 5 years in goverment it is very clear that 
Modi Ji is not at all conce…",,"Bettiah, West Champaran, Bihar"
2019-04-01 12:14:53,Abdul Mujeeb,36.0,110.0,mujeebhse,0.0,12.0,RT @Manoranjan_INC: Now India has replaced #AprilFools with #ModiMatBanao . What an achievement Modi Ji. https://t.co/658WoqsZvY,,
